Caso;Monto;Año;Responsable;Sector;Partido;Año inicio;Año fin;Comuna;Posición;Beneficiado;Perjudicado;Objetivo;Fundación;Delitos;Estado;Sentencia;Condena;Conclusión;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5
Caso Main, alcaldesa de Antofagasta (Karen Rojo);24.000.000;2022;Karen Rojo;Derecha;Independiente;2015;2016;Antofagasta;Alcalde;;;;;Fraude al fisco;Condenada;;cinco años y un día de presidio mayor en su grado mínimo;condena;https://cooperativa.cl/noticias/pais/region-de-antofagasta/ex-alcaldesa-karen-rojo-condenada-a-cinco-anos-de-carcel-por-fraude-al/2022-03-24/135330.html;https://cooperativa.cl/noticias/pais/region-de-antofagasta/suprema-rechazo-recurso-de-nulidad-y-karen-rojo-debera-cumplir-pena-en/2022-03-23/155942.html;https://chile.as.com/actualidad/detencion-de-karen-rojo-a-que-partido-pertenecia-cuanto-dinero-robo-y-por-que-estaba-en-holanda-n/;;
Caso EFE;23.671.000;2008;Luis Ajenjo;Centro;DC;2004;2006;;;;;;;Fraude al fisco;;;;;https://www.biobiochile.cl/noticias/2015/01/24/cinco-casos-de-corrupcion-que-mancharon-la-politica-antes-de-penta-en-los-ultimos-15-anos.shtml;https://www.emol.com/noticias/nacional/2014/10/23/686503/caso-efe-corte-ratifica-condena-en-contra-de-luis-ajenjo-por-fraude-al-fisco.html;;;
Alcaldesa de Recoleta (Sol Letelier);22.917.478;2013;Sol Letelier;Derecha;UDI;2008;2012;Recoleta;Alcalde;Campaña política;Municipio;Campaña política;;Malversación de fondos;;;;;https://www.eldinamo.cl/pais/2013/08/28/sol-letelier-uso-23-millones-de-pesos-de-recoleta-para-su-campana-municipal/;;;;
Alcalde de Puerto Montt (Gervoy Paredes);20.492.785;2024;Gervoy Paredes Rojas;Izquierda;PS;2022;2024;Puerto Montt;Alcalde;;;;;corrupción, lavado de activos;;;;;https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2023/09/13/causa-por-corrupcion-y-lavado-de-activos-fiscal-explica-allanamiento-en-municipio-de-puerto-montt.shtml;https://www.diariodepuertomontt.cl/noticia/politica/2024/08/ter-ordena-la-remocion-del-alcalde-de-puerto-montt;https://www.emol.com/noticias/Nacional/2024/08/23/1140650/remueven-alcalde-de-puerto-montt.html;https://www.24horas.cl/regiones/zona-sur/los-lagos/alcalde-de-puerto-montt-destituido-notable-abandono-deberes;https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2024/10/23/exalcalde-de-puerto-montt-gervoy-paredes-queda-en-prision-preventiva-por-delitos-de-corrupcion.shtml
Alcalde de Recoleta (Daniel Jadue);20.000.000;2023;Daniel Jadue;Izquierda;PC;2023;2024;Recoleta;Alcalde;Partido;Municipio;;;cohecho, fraude al fisco, estafa, administración desleal;En investigación;;;;https://www.emol.com/noticias/Nacional/2023/11/15/1112897/daniel-jadue-declaracion-farmacias-populares.html;https://www.biobiochile.cl/noticias/nacional/chile/2024/04/02/fiscalia-formalizara-a-daniel-jadue-por-cohecho-administracion-desleal-fraude-al-fisco-y-estafa.shtml;;;
Alcalde de Ñuñoa (Pedro Sabat);15.700.000;2015;Pedro Sabat;Derecha;RN;;;Ñuñoa;Alcalde;;Municipio;;;;;;;sentencia;https://www.elciudadano.com/politica/los-18-emblematicos-alcaldes-corruptos-de-la-derecha-historias-de-un-tsunami-delictual/06/22/;;;;
Diputado Republicano, horas extras (Agustín Romero);11.320.978;2023;Agustín Romero;Derecha;Republicano;2017;2021;;Diputado;;;;; fraude al Fisco, falsificación de instrumento público;;;;;https://www.elciudadano.com/reportaje-investigacion/fue-funcionario-de-confianza-de-felipe-alessandri-fiscalia-investiga-a-diputado-republicano-agustin-romero-por-fraude-al-fisco/03/07/;https://www.cooperativa.cl/noticias/pais/judicial/justicia-designo-a-ministra-de-fuero-para-cobrar-pago-de-horas-extras-a/2023-11-27/155546.html;https://interferencia.cl/articulos/corte-designa-ministra-de-fuero-para-cobrar-11-millones-que-diputado-republicano-recibio;;
Alcalde de Buin (Miguel Araya);10.333.332;2024;Miguel Araya;Derecha;UDI;2024;2024;Buin;Alcalde;;Municipio;;;fraude al fisco, enriquecimiento ilícito, lavado de activos;En investigación;;;;https://www.elciudadano.com/actualidad/aumenta-la-lista-de-alcaldes-udi-vinculados-a-delitos-de-cuello-y-corbata-miguel-araya-sera-formalizado-el-proximo-6-de-marzo/02/21/;https://estapasando.cl/reformalizan-por-nuevos-delitos-a-alcalde-de-buin-udi/;;;
Caso Convenios, División de Fomento e Industria (Araucanía);9.000.000;2023;Susan Alarcón;Derecha;RN;;;La Araucanía;Fundación;;;;Fundaciones Folab y Educc.;fraude al fisco reiterado, cohecho;;;;;https://www.malaespinacheck.cl/pais/2024/01/03/los-14-detenidos-en-todo-chile-por-el-caso-convenios/;https://www.elciudadano.com/actualidad/el-entramado-de-ilicitos-de-platas-que-exploto-en-el-gore-araucania-y-que-repercute-en-renovacion-nacional/12/29/;https://elperiodico.cl/contraloria-corrobora-participacion-de-exfuncionaria-del-gore-araucania-en-comision-que-aprobo-proyecto-de-fundacion-que-posteriormente-la-contrato/;;
Ex fiscal jefe de Puerto Natales;7.000.000;2022;Cristian Muñoz;;;2022;2022;Puerto Natales;Fiscal;;;;;cohecho, revelación de secretos;;;;;https://www.emol.com/noticias/Nacional/2024/07/10/1136142/suprema-revoca-prision-preventiva.html;https://www.emol.com/noticias/Nacional/2024/06/07/1133101/cronologia-delitos-fiscal-puerto-natales.html;;;
Caso Convenios (Enlace Urbano);1.022.000;2023;;Ninguno;;;;Atacama;Fundación;;;;Fundación Enlace Urbano;;;;;;https://www.emol.com/noticias/Nacional/2024/02/20/1122268/contraloria-caso-convenios-minvu-serviu.html;https://www.ex-ante.cl/confidencial-las-47-fundaciones-indagadas-por-justicia-en-el-caso-convenios/;;;
Caso Cuentas Corrientes, Ivonne Mangelsdorff;;2023;Ivonne Mangelsdorff;Derecha;RN;;;Rancagua;Municipio;;;;;;;;;;;;;;
Caso Cuentas Corrientes, Municipalidad de San Bernardo;;2021;;;;;;San Bernardo;Municipio;;;Negocio;;;;;;;https://www.ciperchile.cl/2023/05/26/escandalo-de-cuentas-corrientes-municipales-de-nuble-golpea-en-la-region-metropolitana-contraloria-obliga-a-san-bernardo-a-terminar-contrato/;;;;
Caso Cuentas Corrientes, alcalde de San Ignacio (César Figueroa);;2023;César Figueroa, Hugo Troncoso, Rodrigo Sandoval Terán;Derecha;UDI;2021;2023;San Ignacio;Alcalde;;;;;cohecho, falsificación de instrumento público, fraude al fisco, malversación;;;;arresto domiciliario;https://www.t13.cl/noticia/nacional/prision-preventiva-alcalde-san-ignacio-cesar-figueroa-corrupcion-18-4-2023;https://www.elmostrador.cl/dia/2023/04/18/alcalde-de-san-ignacio-cesar-figueroa-sera-formalizado-por-delitos-de-corrupcion/;https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2023/10/15/cuentas-corrientes-tesorero-municipal-acusado-de-cohecho-logra-salida-alternativa-tras-donar-200-mil.shtml;https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2023/04/25/causa-por-corrupcion-mantienen-prision-preventiva-para-alcalde-de-san-ignacio-y-un-operador-politico.shtml;
Caso Cuentas Corrientes, alcalde de Ñiquén (Manuel Pino);;2023;Manuel Pino;Derecha;UDI;;2023;Ñiquén;Alcalde;;;;;malversación de caudales públicos, falsificación de instrumento público, cohecho, soborno;;;;arresto domiciliario;https://www.cooperativa.cl/noticias/pais/region-de-nuble/pdi-detuvo-al-alcalde-de-niquen-por-delitos-de-corrupcion/2023-04-19/112634.html;https://www.emol.com/noticias/Nacional/2024/02/15/1121826/caso-cuentas-corrientes.html;;;
Caso Cuentas Corrientes, alcalde de Bulnes, (Guillermo Yeber);;2023;Guillermo Yeber;Centro;DC;;2023;Bulnes;Alcalde;;;;;delitos de sobornos, cohecho, fraude al fisco y malversación de caudales públicos;;;;detención;https://www.emol.com/noticias/Nacional/2024/02/15/1121826/caso-cuentas-corrientes.html;https://radio.uchile.cl/2024/02/13/caso-cuentas-corrientes-detienen-a-alcalde-de-bulnes-por-delitos-economicos/;;;
Caso Cuentas Corrientes, Ñuble;;2023;Rodrigo Sandoval Terán;Derecha;UDI;;;Chillán;Municipio;;;;;;;;;;https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2023/04/19/ex-udi-y-exasesor-de-sauerbaum-quien-es-el-operador-politico-investigado-por-corrupcion-en-nuble.shtml;https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2023/04/25/causa-por-corrupcion-mantienen-prision-preventiva-para-alcalde-de-san-ignacio-y-un-operador-politico.shtml;;;
