Caso;Monto;Año;Responsable;Sector;Partido;Año inicio;Año fin;Comuna;Posición;Beneficiado;Perjudicado;Objetivo;Fundación;Delitos;Estado;Sentencia;Condena;Conclusión;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5
Alcalde de Lo Barnechea (Felipe Guevara);680.000.000;2018;Felipe Guevara;Derecha;RN;;;Lo Barnechea;Alcalde;;Municipio;;;malversación de caudales públicos, fraude al Fisco y emisión de boletas falsas;;;;;https://www.meganoticias.cl/nacional/403342-contraloria-cifra-en-680-millones-posible-fraude-al-fisco-bajo-el-mandato-del-exintendente-guevara.html;https://cronicas.americatransparente.org/los-otros-programas-vita-41-mil-millones-transferidos-a-entidades-privadas-de-lo-barnechea/;https://cooperativa.cl/noticias/pais/politica/contraloria-envio-a-fiscalia-caso-de-millonarios-contratos-con/2023-01-23/152629.html;;
Caso Convenios (Urbanismo Social);577.000.000;2023;;Ninguno;;;;Maule;Fundación;;;;Fundación Urbanismo Social;Fraude al fisco;En investigación;;;;https://www.biobiochile.cl/noticias/nacional/region-del-maule/2024/03/11/pdi-allano-gobernacion-del-maule-en-medio-de-investigaciones-por-traspasos-a-urbanismo-social.shtml;https://www.biobiochile.cl/noticias/nacional/region-del-maule/2024/03/12/caso-convenios-jefe-de-control-interno-del-gore-maule-declaro-por-traspasos-a-urbanismo-social.shtml;;;
Caso Luminarias: concejal de Iquique (Felipe Arenas);500.000.000;2024;Felipe Arenas;Derecha;UDI;2016;2018;Iquique;Concejal;Personal;Municipio;Enriquecimiento;;Fraude al fisco, cohecho reiterado;Condenado;Sí;Sí;3 años y un día y 718 días de presidio, con el beneficio de la libertad vigilada intensiva;https://www.latercera.com/campuslt/noticia/luminarias-juzgado-de-garantia-de-iquique-condena-a-exconcejal-felipe-arenas-por-fraude-al-fisco-y-cohecho/OR3BBHZLARCULI7J5A22A66CSU/;https://iquiquetv.cl/2024/07/02/caso-luminarias-led-condenan-a-ex-concejal-felipe-arenas-por-cohecho-y-fraude-al-fisco/;;;
Alcalde de Melipilla (Iván Campos);497.000.000;2020;Iván Campos;Derecha;RN;;;Melipilla;Alcalde;;;;;fraude al fisco;;;;;https://www.eldesconcierto.cl/reportajes/2024/01/23/municipio-se-querella-por-multa-de-500-millones-acusan-a-exalcalde-de-melipilla-por-fraude-al-fisco.html;https://www.latercera.com/nacional/noticia/municipalidad-de-melipilla-presenta-querella-por-fraude-al-fisco-contra-el-exalcalde-ivan-campos/P6XRT2X73NAHJIEMIZWPRX6VEU/;;;
Caso SQM (Claudio Eguiluz);465.000.000;2019;Claudio Eguiluz;Derecha;RN;;;;;;;;;emisión de boletas falsas;;;;;https://www.elmostrador.cl/noticias/pais/2019/05/05/las-vueltas-de-la-vida-rn-elige-a-claudio-eguiluz-condenado-por-caso-sqm-como-su-presidente-regional-en-el-biobio/;;;;
Caso Convenios (Democracia Viva);426.000.000;2023;Daniel Andrade, Carlos Contreras;Izquierda;RD;2022;2024;Antofagasta;Fundación;;;;Democracia Viva y TomArte;fraude al fisco;;;;;https://www.latercera.com/nacional/noticia/caso-convenios-ministerio-publico-indaga-traspasos-a-fundaciones-por-mas-de-14-mil-millones-en-ocho-regiones/XUWDKEDIWNDXTOU3RCMSIVQZE4/;https://www.biobiochile.cl/noticias/nacional/region-de-antofagasta/2024/09/03/caso-convenios-formalizan-a-carlos-contreras-por-tres-delitos-de-fraude-al-fisco.shtml;;;
Caso Convenios (Fundación Coigue);421.000.000;2023;"Luciano Rivas, Claudia
Lillo, Sebastián
Naveillán";Derecha;Evópoli, UDI;;;La Araucanía;Fundación;;;;Fundación Coigue;adjudicación de fondos a fundación sin experiencia ni giro adecuado;;;;;https://radionuevomundo.cl/2023/07/18/gobernador-rivas-suma-al-caso-fundacion-local-traspasos-arbitrarios-a-coihue-y-a-universidades-de-la-araucania/;https://www.elciudadano.com/actualidad/el-entramado-de-ilicitos-de-platas-que-exploto-en-el-gore-araucania-y-que-repercute-en-renovacion-nacional/12/29/;https://resumen.cl/articulos/la-derecha-de-la-araucania-en-el-caso-fundaciones-las-irregularidades-de-espacio-coigue-que-llevaron-al-ministerio-de-justicia-a-solicitar-su-cierre;;
Caso Motorola (Katherine Martorell);400.000.000;2023;Katherine Martorell;Derecha;RN;;;;Subsecretario;;;;;fraude al fisco;;;;;https://www.elmostrador.cl/dia/2023/03/31/exsubsecretaria-martorell-declaro-como-imputada-por-corrupcion-en-caso-motorola/;;;;
Caso Penta (Laurence Golborne);378.000.000;2019;Laurence Golborne;Derecha;UDI;2013;2016;;;Político;;Financiamiento político;;emisión de facturas ideológicamente falsas;;;;multa;https://www.chilevision.cl/noticias/nacional/golborne-paga-11-4-millones-y-logra-salida-alternativa-del-caso-penta;https://www.latercera.com/la-tercera-pm/noticia/golborne-sale-del-caso-penta-tras-pagar-114-millones/906364/;;;
Caso Convenios (Bonhomía);356.000.000;2023;;Derecha;Republicano;;;Biobío;Fundación;;;;Fundación Bonhomía;ejecución incompleta de programa, facturas y boletas sin respaldo;;;;;https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2024/03/13/caso-convenios-allanan-empresa-que-facturo-356-millones-en-convenios-del-gore-bio-bio-y-bonhomia.shtml;https://resumen.cl/articulos/fundacion-contrato-con-dineros-del-gore-biobio-a-empresas-de-coordinador-de-programa-y-a-firma-donde-trabaja-su-hermano-y-su-madre-excandidata-republicana;https://cooperativa.cl/noticias/pais/region-del-biobio/detienen-a-lider-de-empresa-en-allanamiento-por-caso-convenios-pdi/2024-03-13/123002.html;;
Alcalde de Guaitecas (Cristian Alvarado Oyarzo);351.000.000;2021;Cristian Alvarado Oyarzo;Derecha;Independiente;2013;2016;Guaitecas;Alcalde;;;;;malversación de fondos públicos;Sentencia;;10 años de presidio;10 años de presidio;http://www.fiscaliadechile.cl/Fiscalia/sala_prensa/noticias_regional_det.do?id=22739;https://resumen.cl/articulos/exalcalde-pasara-10-anos-en-carcel-por-apropiarse-de-351-millones-de-la-municipalidad-y-de-empresa-electrica;;;
Gastos electorales Comunes (Karina Oliva);293.093.681;2023;Karina Oliva;Izquierda;Comunes;;;;;;;;;fraude de subvenciones;;;;;https://www.24horas.cl/actualidad/politica/que-se-le-acusa-a-karina-oliva-emitir-boletas-falsas-defraudar-290-millones;;;;
Caso Subvenciones;290.000.000;2006;Franka Grez;Ninguno;;;;;Ministro;;;;;malversación de fondos públicos;;;;;https://www.fastcheck.cl/2021/11/18/yasna-provoste-se-robo-600-millones-de-dolares-del-ministerio-de-educacion-falso/;;;;
Alcalde de Valparaíso (Jorge Castro);289.350.646;2018;Jorge Castro;Derecha;UDI;;;Valparaíso;Alcalde;;;;;fraude al fisco, malversación de fondos;;;;;https://www.elciudadano.com/politica/los-18-emblematicos-alcaldes-corruptos-de-la-derecha-historias-de-un-tsunami-delictual/06/22/;;;;
Caso San Ramón;283.000.000;2017;Miguel Ángel Aguilera;Izquierda;PS;2012;2017;San Ramón;Alcalde;Político;Municipio;Enriquecimiento;;enriquecimiento ilícito, lavado de activos, cohecho, soborno;;;;;https://www.ciperchile.cl/2021/06/04/los-millonarios-pagos-al-alcalde-aguilera-y-los-testimonios-de-sus-subordinados-que-lo-tienen-al-borde-del-precipicio/;;;;
Caso Convenios (RedCultivarte);274.000.000;2023;;Ninguno;;;;Biobío;Fundación;;;;ONG RedCultivarte;;;;;;https://www.latercera.com/nacional/noticia/caso-convenios-ministerio-publico-indaga-traspasos-a-fundaciones-por-mas-de-14-mil-millones-en-ocho-regiones/XUWDKEDIWNDXTOU3RCMSIVQZE4/;;;;
Caso Corpesca (Jaime Orpis);264.254.000;2021;Jaime Orpis;Derecha;UDI;;;;;;;;;fraude al fisco, cohecho;;;;;https://radio.uchile.cl/2021/04/16/a-la-carcel-ex-senador-udi-jaime-orpis-es-condenado-a-prision-por-cohecho-y-fraude-al-fisco/;;;;
